name,symbol,market
삼성전자,005930.KS,KOSPI
SK하이닉스,000660.KS,KOSPI
현대차,005380.KS,KOSPI
삼성전자우,005935.KS,KOSPI
LG에너지솔루션,373220.KS,KOSPI
삼성바이오로직스,207940.KS,KOSPI
SK스퀘어,402340.KS,KOSPI
한화에어로스페이스,012450.KS,KOSPI
기아,000270.KS,KOSPI
두산에너빌리티,034020.KS,KOSPI
HD현대중공업,329180.KS,KOSPI
KB금융,105560.KS,KOSPI
셀트리온,068270.KS,KOSPI
삼성물산,028260.KS,KOSPI
신한지주,055550.KS,KOSPI
한화오션,042660.KS,KOSPI
NAVER,035420.KS,KOSPI
한국전력,015760.KS,KOSPI
현대모비스,012330.KS,KOSPI
삼성생명,032830.KS,KOSPI
고려아연,010130.KS,KOSPI
하나금융지주,086790.KS,KOSPI
HD현대일렉트릭,267260.KS,KOSPI
삼성SDI,006400.KS,KOSPI
POSCO홀딩스,005490.KS,KOSPI
HD한국조선해양,009540.KS,KOSPI
미래에셋증권,006800.KS,KOSPI
카카오,035720.KS,KOSPI
삼성중공업,010140.KS,KOSPI
삼성화재,000810.KS,KOSPI
우리금융지주,316140.KS,KOSPI
SK,034730.KS,KOSPI
현대로템,064350.KS,KOSPI
메리츠금융지주,138040.KS,KOSPI
LG화학,051910.KS,KOSPI
삼성전기,009150.KS,KOSPI
효성중공업,298040.KS,KOSPI
한화시스템,272210.KS,KOSPI
포스코퓨처엠,003670.KS,KOSPI
KT&G,033780.KS,KOSPI
HMM,011200.KS,KOSPI
HD현대,267250.KS,KOSPI
한미반도체,042700.KS,KOSPI
기업은행,024110.KS,KOSPI
SK이노베이션,096770.KS,KOSPI
현대글로비스,086280.KS,KOSPI
LS ELECTRIC,010120.KS,KOSPI
LG전자,066570.KS,KOSPI
한국항공우주,047810.KS,KOSPI
하이브,352820.KS,KOSPI
SK텔레콤,017670.KS,KOSPI
KT,030200.KS,KOSPI
삼성에피스홀딩스,0126Z0.KS,KOSPI
LG,003550.KS,KOSPI
두산,000150.KS,KOSPI
삼성에스디에스,018260.KS,KOSPI
레인보우로보틱스,277810.KQ,KOSDAQ
카카오뱅크,323410.KS,KOSPI
현대건설,000720.KS,KOSPI
삼천당제약,000250.KQ,KOSDAQ
한국금융지주,071050.KS,KOSPI
DB손해보험,005830.KS,KOSPI
크래프톤,259960.KS,KOSPI
포스코인터내셔널,047050.KS,KOSPI
S-Oil,010950.KS,KOSPI
키움증권,039490.KS,KOSPI
현대오토에버,307950.KS,KOSPI
에이비엘바이오,298380.KQ,KOSDAQ
에이피알,278470.KS,KOSPI
LIG넥스원,079550.KS,KOSPI
NH투자증권,005940.KS,KOSPI
카카오페이,377300.KS,KOSPI
현대차2우B,005387.KS,KOSPI
대한항공,003490.KS,KOSPI
SK바이오팜,326030.KS,KOSPI
한화,000880.KS,KOSPI
이수페타시스,007660.KS,KOSPI
유한양행,000100.KS,KOSPI
한국타이어앤테크놀로지,161390.KS,KOSPI
아모레퍼시픽,090430.KS,KOSPI
삼양식품,003230.KS,KOSPI
삼성증권,016360.KS,KOSPI
코오롱티슈진,950160.KQ,KOSDAQ
한진칼,180640.KS,KOSPI
HD현대마린솔루션,443060.KS,KOSPI
한화솔루션,009830.KS,KOSPI
한미약품,128940.KS,KOSPI
삼성카드,029780.KS,KOSPI
LS,006260.KS,KOSPI
HLB,028300.KQ,KOSDAQ
LG유플러스,032640.KS,KOSPI
두산로보틱스,454910.KS,KOSPI
LG씨엔에스,064400.KS,KOSPI
GS,078930.KS,KOSPI
삼성E&A,028050.KS,KOSPI
케어젠,214370.KQ,KOSDAQ
CJ,001040.KS,KOSPI
HD건설기계,267270.KS,KOSPI
펩트론,087010.KQ,KOSDAQ
현대차우,005385.KS,KOSPI
BNK금융지주,138930.KS,KOSPI
포스코DX,022100.KS,KOSPI
두산밥캣,241560.KS,KOSPI
대한전선,001440.KS,KOSPI
코웨이,021240.KS,KOSPI
LG디스플레이,034220.KS,KOSPI
한전기술,052690.KS,KOSPI
LG이노텍,011070.KS,KOSPI
JB금융지주,175330.KS,KOSPI
맥쿼리인프라,088980.KS,KOSPI
오리온,271560.KS,KOSPI
넷마블,251270.KS,KOSPI
엔씨소프트,036570.KS,KOSPI
엘앤에프,066970.KS,KOSPI
DB하이텍,000990.KS,KOSPI
에코프로머티,450080.KS,KOSPI
한화엔진,082740.KS,KOSPI
산일전기,062040.KS,KOSPI
메지온,140410.KQ,KOSDAQ
현대제철,004020.KS,KOSPI
KCC,002380.KS,KOSPI
SKC,011790.KS,KOSPI
LG생활건강,051900.KS,KOSPI
로보티즈,108490.KQ,KOSDAQ
현대엘리베이터,017800.KS,KOSPI
영원무역,111770.KS,KOSPI
한온시스템,018880.KS,KOSPI
SK바이오사이언스,302440.KS,KOSPI
강원랜드,035250.KS,KOSPI
한국가스공사,036460.KS,KOSPI
보로노이,310210.KQ,KOSDAQ
서울보증보험,031210.KS,KOSPI
금호석유화학,011780.KS,KOSPI
현대무벡스,319400.KQ,KOSDAQ
디앤디파마텍,347850.KQ,KOSDAQ
한화비전,489790.KS,KOSPI
에임드바이오,0009K0.KQ,KOSDAQ
에스원,012750.KS,KOSPI
CJ제일제당,097950.KS,KOSPI
롯데지주,004990.KS,KOSPI
신세계,004170.KS,KOSPI
한미사이언스,008930.KS,KOSPI
한솔케미칼,014680.KS,KOSPI
롯데케미칼,011170.KS,KOSPI
한화생명,088350.KS,KOSPI
일진전기,103590.KS,KOSPI
이수스페셜티케미컬,457190.KS,KOSPI
에스피지,058610.KQ,KOSDAQ
풍산,103140.KS,KOSPI
세아베스틸지주,001430.KS,KOSPI
셀트리온제약,068760.KQ,KOSDAQ
신영증권,001720.KS,KOSPI
대덕전자,353200.KS,KOSPI
원익홀딩스,030530.KQ,KOSDAQ
OCI홀딩스,010060.KS,KOSPI
이마트,139480.KS,KOSPI
iM금융지주,139130.KS,KOSPI
영원무역홀딩스,009970.KS,KOSPI
F&F,383220.KS,KOSPI
대한조선,439260.KS,KOSPI
롯데쇼핑,023530.KS,KOSPI
HL만도,204320.KS,KOSPI
HD현대마린엔진,071970.KS,KOSPI
미스토홀딩스,081660.KS,KOSPI
현대해상,001450.KS,KOSPI
동진쎄미켐,005290.KQ,KOSDAQ
팬오션,028670.KS,KOSPI
동서,026960.KS,KOSPI
한전KPS,051600.KS,KOSPI
농심,004370.KS,KOSPI
한올바이오파마,009420.KS,KOSPI
한국앤컴퍼니,000240.KS,KOSPI
더존비즈온,012510.KS,KOSPI
실리콘투,257720.KQ,KOSDAQ
CJ대한통운,000120.KS,KOSPI
올릭스,226950.KQ,KOSDAQ
롯데에너지머티리얼즈,020150.KS,KOSPI
아모레퍼시픽홀딩스,002790.KS,KOSPI
에스엘,005850.KS,KOSPI
제일기획,030000.KS,KOSPI
코리안리,003690.KS,KOSPI
효성,004800.KS,KOSPI
비에이치아이,083650.KQ,KOSDAQ
유진테크,084370.KQ,KOSDAQ
오름테라퓨틱,475830.KQ,KOSDAQ
두산퓨얼셀,336260.KS,KOSPI
대우건설,047040.KS,KOSPI
현대백화점,069960.KS,KOSPI
고영,098460.KQ,KOSDAQ
코스맥스,192820.KS,KOSPI
태성,323280.KQ,KOSDAQ
파두,440110.KQ,KOSDAQ
미래에셋증권2우B,00680K.KS,KOSPI
현대위아,011210.KS,KOSPI
하나마이크론,067310.KQ,KOSDAQ
삼표시멘트,038500.KQ,KOSDAQ
엘앤씨바이오,290650.KQ,KOSDAQ
BGF리테일,282330.KS,KOSPI
HJ중공업,097230.KS,KOSPI
달바글로벌,483650.KS,KOSPI
롯데관광개발,032350.KS,KOSPI
다우기술,023590.KS,KOSPI
쎄트렉아이,099320.KQ,KOSDAQ
SK가스,018670.KS,KOSPI
하이젠알앤엠,160190.KQ,KOSDAQ
오스코텍,039200.KQ,KOSDAQ
SK아이이테크놀로지,361610.KS,KOSPI
큐리옥스바이오시스템즈,445680.KQ,KOSDAQ
리브스메드,491000.KQ,KOSDAQ
신성델타테크,065350.KQ,KOSDAQ
씨어스테크놀로지,458870.KQ,KOSDAQ
서진시스템,178320.KQ,KOSDAQ
호텔신라,008770.KS,KOSPI
녹십자,006280.KS,KOSPI
시프트업,462870.KS,KOSPI
대웅제약,069620.KS,KOSPI
파라다이스,034230.KS,KOSPI
동원산업,006040.KS,KOSPI
에스앤에스텍,101490.KQ,KOSDAQ
금호타이어,073240.KS,KOSPI
알지노믹스,476830.KQ,KOSDAQ
한국카본,017960.KS,KOSPI
삼현,437730.KQ,KOSDAQ
두산우,000155.KS,KOSPI
스피어,347700.KQ,KOSDAQ
젬백스,082270.KQ,KOSDAQ
씨에스윈드,112610.KS,KOSPI
DL이앤씨,375500.KS,KOSPI
GS리테일,007070.KS,KOSPI
차바이오텍,085660.KQ,KOSDAQ
SK리츠,395400.KS,KOSPI
효성티앤씨,298020.KS,KOSPI
엔켐,348370.KQ,KOSDAQ
휴림로봇,090710.KQ,KOSDAQ
GS건설,006360.KS,KOSPI
SNT다이내믹스,003570.KS,KOSPI
한국콜마,161890.KS,KOSPI
테크윙,089030.KQ,KOSDAQ
코스모신소재,005070.KS,KOSPI
미래에셋생명,085620.KS,KOSPI
LX인터내셔널,001120.KS,KOSPI
우리기술,032820.KQ,KOSDAQ
클로봇,466100.KQ,KOSDAQ
오뚜기,007310.KS,KOSPI
아시아나항공,020560.KS,KOSPI
현대지에프홀딩스,005440.KS,KOSPI
DN오토모티브,007340.KS,KOSPI
와이씨,232140.KQ,KOSDAQ
레이크머티리얼즈,281740.KQ,KOSDAQ
코오롱인더,120110.KS,KOSPI
대신증권,003540.KS,KOSPI
성호전자,043260.KQ,KOSDAQ
피에스케이홀딩스,031980.KQ,KOSDAQ
네이처셀,007390.KQ,KOSDAQ
제주반도체,080220.KQ,KOSDAQ
LS마린솔루션,060370.KQ,KOSDAQ
에이프릴바이오,397030.KQ,KOSDAQ
오리온홀딩스,001800.KS,KOSPI
대웅,003090.KS,KOSPI
HDC현대산업개발,294870.KS,KOSPI
가온전선,000500.KS,KOSPI
씨젠,096530.KQ,KOSDAQ
유일로보틱스,388720.KQ,KOSDAQ
테스,095610.KQ,KOSDAQ
교보증권,030610.KS,KOSPI
와이지엔터테인먼트,122870.KQ,KOSDAQ
미래에셋벤처투자,100790.KQ,KOSDAQ
지투지바이오,456160.KQ,KOSDAQ
한화투자증권,003530.KS,KOSPI
한일시멘트,300720.KS,KOSPI
롯데리츠,330590.KS,KOSPI
LS에코에너지,229640.KS,KOSPI
지역난방공사,071320.KS,KOSPI
코리아써키트,007810.KS,KOSPI
하이트진로,000080.KS,KOSPI
롯데칠성,005300.KS,KOSPI
제이앤티씨,204270.KQ,KOSDAQ
STX엔진,077970.KS,KOSPI
GS피앤엘,499790.KS,KOSPI
KB발해인프라,415640.KS,KOSPI
RFHIC,218410.KQ,KOSDAQ
씨엠티엑스,388210.KQ,KOSDAQ
큐리언트,115180.KQ,KOSDAQ
삼성화재우,000815.KS,KOSPI
종근당,185750.KS,KOSPI
유진로봇,056080.KQ,KOSDAQ
앱클론,174900.KQ,KOSDAQ
LG화학우,051915.KS,KOSPI
루닛,328130.KQ,KOSDAQ
더블유게임즈,192080.KS,KOSPI
롯데정밀화학,004000.KS,KOSPI
동양생명,082640.KS,KOSPI
롯데렌탈,089860.KS,KOSPI
서부T&D,006730.KQ,KOSDAQ
HDC,012630.KS,KOSPI
SFA반도체,036540.KQ,KOSDAQ
일동제약,249420.KS,KOSPI
필옵틱스,161580.KQ,KOSDAQ
SK네트웍스,001740.KS,KOSPI
SK케미칼,285130.KS,KOSPI
롯데웰푸드,280360.KS,KOSPI
뉴로메카,348340.KQ,KOSDAQ
대주전자재료,078600.KQ,KOSDAQ
HS효성첨단소재,298050.KS,KOSPI
ESR켄달스퀘어리츠,365550.KS,KOSPI
엠앤씨솔루션,484870.KS,KOSPI
인텔리안테크,189300.KQ,KOSDAQ
에스디바이오센서,137310.KS,KOSPI
아이티센글로벌,124500.KQ,KOSDAQ
SK오션플랜트,100090.KS,KOSPI
해성디에스,195870.KS,KOSPI
한샘,009240.KS,KOSPI
에이치브이엠,295310.KQ,KOSDAQ
코스메카코리아,241710.KQ,KOSDAQ
태광산업,003240.KS,KOSPI
NHN,181710.KS,KOSPI
영풍,000670.KS,KOSPI
세진중공업,075580.KS,KOSPI
티에스이,131290.KQ,KOSDAQ
CJ CGV,079160.KS,KOSPI
쿠쿠홀딩스,192400.KS,KOSPI
디어유,376300.KQ,KOSDAQ
케이씨텍,281820.KS,KOSPI
LS머트리얼즈,417200.KQ,KOSDAQ
메디포스트,078160.KQ,KOSDAQ
위메이드,112040.KQ,KOSDAQ
NICE평가정보,030190.KS,KOSPI
SK디스커버리,006120.KS,KOSPI
제이에스링크,127120.KQ,KOSDAQ
대한유화,006650.KS,KOSPI
HD현대에너지솔루션,322000.KS,KOSPI
제룡전기,033100.KQ,KOSDAQ
메디톡스,086900.KQ,KOSDAQ
현대바이오,048410.KQ,KOSDAQ
명인제약,317450.KS,KOSPI
SNT홀딩스,036530.KS,KOSPI
DL,000210.KS,KOSPI
다우데이타,032190.KQ,KOSDAQ
세미파이브,490470.KQ,KOSDAQ
비츠로셀,082920.KQ,KOSDAQ
인벤티지랩,389470.KQ,KOSDAQ
SNT모티브,064960.KS,KOSPI
에프에스티,036810.KQ,KOSDAQ
LX세미콘,108320.KS,KOSPI
선익시스템,171090.KQ,KOSDAQ
한화3우B,00088K.KS,KOSPI
넥센타이어,002350.KS,KOSPI
세방전지,004490.KS,KOSPI
유안타증권,003470.KS,KOSPI
경동나비엔,009450.KS,KOSPI
SNT에너지,100840.KS,KOSPI
후성,093370.KS,KOSPI
한화리츠,451800.KS,KOSPI
동성화인텍,033500.KQ,KOSDAQ
NHN KCP,060250.KQ,KOSDAQ
아난티,025980.KQ,KOSDAQ
LG전자우,066575.KS,KOSPI
한국금융지주우,071055.KS,KOSPI
지아이이노베이션,358570.KQ,KOSDAQ
디아이,003160.KS,KOSPI
자화전자,033240.KS,KOSPI
카페24,042000.KQ,KOSDAQ
동원시스템즈,014820.KS,KOSPI
코오롱생명과학,102940.KQ,KOSDAQ
전진건설로봇,079900.KS,KOSPI
TKG휴켐스,069260.KS,KOSPI
넥슨게임즈,225570.KQ,KOSDAQ
아이에스동서,010780.KS,KOSPI
로킷헬스케어,376900.KQ,KOSDAQ
이엔에프테크놀로지,102710.KQ,KOSDAQ
성광벤드,014620.KQ,KOSDAQ
코오롱,002020.KS,KOSPI
코나아이,052400.KQ,KOSDAQ
파미셀,005690.KS,KOSPI
KG모빌리티,003620.KS,KOSPI
아이쓰리시스템,214430.KQ,KOSDAQ
보령,003850.KS,KOSPI
GKL,114090.KS,KOSPI
F&F홀딩스,007700.KS,KOSPI
노타,486990.KQ,KOSDAQ
프로티나,468530.KQ,KOSDAQ
나노신소재,121600.KQ,KOSDAQ
JW중외제약,001060.KS,KOSPI
이노션,214320.KS,KOSPI
솔루엠,248070.KS,KOSPI
대상,001680.KS,KOSPI
비나텍,126340.KQ,KOSDAQ
케이엠더블유,032500.KQ,KOSDAQ
큐렉소,060280.KQ,KOSDAQ
하나투어,039130.KS,KOSPI
가온칩스,399720.KQ,KOSDAQ
빙그레,005180.KS,KOSPI
온코닉테라퓨틱스,476060.KQ,KOSDAQ
기가비스,420770.KQ,KOSDAQ
네오셈,253590.KQ,KOSDAQ
토모큐브,475960.KQ,KOSDAQ
성일하이텍,365340.KQ,KOSDAQ
CJ4우(전환),00104K.KS,KOSPI
케이카,381970.KS,KOSPI
로보스타,090360.KQ,KOSDAQ
덕양에너젠,0001A0.KQ,KOSDAQ
원텍,336570.KQ,KOSDAQ
펌텍코리아,251970.KQ,KOSDAQ
한화손해보험,000370.KS,KOSPI
부국증권,001270.KS,KOSPI
한국단자,025540.KS,KOSPI
이뮨온시아,424870.KQ,KOSDAQ
그래피,318060.KQ,KOSDAQ
에코프로에이치엔,383310.KQ,KOSDAQ
태광,023160.KQ,KOSDAQ
한라캐스트,125490.KQ,KOSDAQ
현대홈쇼핑,057050.KS,KOSPI
녹십자홀딩스,005250.KS,KOSPI
프레스티지바이오파마,950210.KS,KOSPI
신한알파리츠,293940.KS,KOSPI
동아쏘시오홀딩스,000640.KS,KOSPI
삼양바이오팜,0120G0.KS,KOSPI
큐로셀,372320.KQ,KOSDAQ
미원에스씨,268280.KS,KOSPI
안랩,053800.KQ,KOSDAQ
SK이터닉스,475150.KS,KOSPI
인투셀,287840.KQ,KOSDAQ
비츠로넥스텍,488900.KQ,KOSDAQ
E1,017940.KS,KOSPI
OCI,456040.KS,KOSPI
신풍제약,019170.KS,KOSPI
미원상사,002840.KS,KOSPI
브이엠,089970.KQ,KOSDAQ
세아홀딩스,058650.KS,KOSPI
대한해운,005880.KS,KOSPI
브이티,018290.KQ,KOSDAQ
시노펙스,025320.KQ,KOSDAQ
율촌화학,008730.KS,KOSPI
인카금융서비스,211050.KQ,KOSDAQ
휴온스글로벌,084110.KQ,KOSDAQ
LX홀딩스,383800.KS,KOSPI
다날,064260.KQ,KOSDAQ
HEM파마,376270.KQ,KOSDAQ
금양,001570.KS,KOSPI
동운아나텍,094170.KQ,KOSDAQ
샘씨엔에스,252990.KQ,KOSDAQ
우리기술투자,041190.KQ,KOSDAQ
지엔씨에너지,119850.KQ,KOSDAQ
케이아이엔엑스,093320.KQ,KOSDAQ
카프로,006380.KS,KOSPI
나라스페이스테크놀로지,478340.KQ,KOSDAQ
천보,278280.KQ,KOSDAQ
코스모화학,005420.KS,KOSPI
한세실업,105630.KS,KOSPI
네오위즈,095660.KQ,KOSDAQ
신도리코,029530.KS,KOSPI
넥스트바이오메디컬,389650.KQ,KOSDAQ
프로텍,053610.KQ,KOSDAQ
LF,093050.KS,KOSPI
대신증권우,003545.KS,KOSPI
감성코퍼레이션,036620.KQ,KOSDAQ
고려제강,002240.KS,KOSPI
현대힘스,460930.KQ,KOSDAQ
아세아,002030.KS,KOSPI
성우하이텍,015750.KQ,KOSDAQ
비에이치,090460.KS,KOSPI
현대차증권,001500.KS,KOSPI
쏠리드,050890.KQ,KOSDAQ
한스바이오메드,042520.KQ,KOSDAQ
태웅,044490.KQ,KOSDAQ
아주IB투자,027360.KQ,KOSDAQ
제주은행,006220.KS,KOSPI
한국쉘석유,002960.KS,KOSPI
미코,059090.KQ,KOSDAQ
삼천리,004690.KS,KOSPI
바이오노트,377740.KS,KOSPI
세아제강지주,003030.KS,KOSPI
풍산홀딩스,005810.KS,KOSPI
제우스,079370.KQ,KOSDAQ
PI첨단소재,178920.KS,KOSPI
코미팜,041960.KQ,KOSDAQ
KG스틸,016380.KS,KOSPI
지노믹트리,228760.KQ,KOSDAQ
현대차3우B,005389.KS,KOSPI
티엘비,356860.KQ,KOSDAQ
한전산업,130660.KS,KOSPI
위메이드맥스,101730.KQ,KOSDAQ
에스티큐브,052020.KQ,KOSDAQ
솔루스첨단소재,336370.KS,KOSPI
DB증권,016610.KS,KOSPI
유니드,014830.KS,KOSPI
맵스리얼티,094800.KS,KOSPI
쿠쿠홈시스,284740.KS,KOSPI
메디아나,041920.KQ,KOSDAQ
덴티움,145720.KS,KOSPI
켐트로닉스,089010.KQ,KOSDAQ
롯데손해보험,000400.KS,KOSPI
드림텍,192650.KS,KOSPI
원익머트리얼즈,104830.KQ,KOSDAQ
덕산하이메탈,077360.KQ,KOSDAQ
동아에스티,170900.KS,KOSPI
에스티아이,039440.KQ,KOSDAQ
아모레퍼시픽우,090435.KS,KOSPI
신라젠,215600.KQ,KOSDAQ
현대그린푸드,453340.KS,KOSPI
HLB제약,047920.KQ,KOSDAQ
아이센스,099190.KQ,KOSDAQ
티에프이,425420.KQ,KOSDAQ
엔젤로보틱스,455900.KQ,KOSDAQ
재영솔루텍,049630.KQ,KOSDAQ
티로보틱스,117730.KQ,KOSDAQ
NICE,034310.KS,KOSPI
퓨쳐켐,220100.KQ,KOSDAQ
아스테라시스,450950.KQ,KOSDAQ
한양이엔지,045100.KQ,KOSDAQ
GST,083450.KQ,KOSDAQ
삼양사,145990.KS,KOSPI
한일홀딩스,003300.KS,KOSPI
우진,105840.KS,KOSPI
엠씨넥스,097520.KS,KOSPI
파이버프로,368770.KQ,KOSDAQ
에코마케팅,230360.KQ,KOSDAQ
일진하이솔루스,271940.KS,KOSPI
툴젠,199800.KQ,KOSDAQ
풀무원,017810.KS,KOSPI
애경케미칼,161000.KS,KOSPI
퍼시스,016800.KS,KOSPI
HLB생명과학,067630.KQ,KOSDAQ
유바이오로직스,206650.KQ,KOSDAQ
명신산업,009900.KS,KOSPI
엠로,058970.KQ,KOSDAQ
아세아시멘트,183190.KS,KOSPI
에이디테크놀로지,200710.KQ,KOSDAQ
태영건설,009410.KS,KOSPI
예스티,122640.KQ,KOSDAQ
삼양홀딩스,000070.KS,KOSPI
신대양제지,016590.KS,KOSPI
바이넥스,053030.KQ,KOSDAQ
씨앤씨인터내셔널,352480.KQ,KOSDAQ
제이알글로벌리츠,348950.KS,KOSPI
스틱인베스트먼트,026890.KS,KOSPI
조광피혁,004700.KS,KOSPI
삼양컴텍,484590.KQ,KOSDAQ
티웨이항공,091810.KS,KOSPI
삼성FN리츠,448730.KS,KOSPI
에스에이엠티,031330.KQ,KOSDAQ
신성이엔지,011930.KS,KOSPI
인바디,041830.KQ,KOSDAQ
데브시스터즈,194480.KQ,KOSDAQ
YG PLUS,037270.KS,KOSPI
제주항공,089590.KS,KOSPI
대한제강,084010.KS,KOSPI
INVENI,015360.KS,KOSPI
신세계인터내셔날,031430.KS,KOSPI
한중엔시에스,107640.KQ,KOSDAQ
